entry,yazar,tarih,entry_id
"dibine du$er, bide pi$ipte du$enleri wardir turk milletini temsil eder ..",lord,1999-06-20,10204
argoda antenle benzer anlam ta$ir. (bkz: anten),rotting horse on the deadly ground,1999-07-08,17392
"dalinda guzel, ac karna yiyince karin agritiyo 
armut seklinde balonlar vardir",lord,1999-08-16,26971
"1-bir meyve ce$idimiz
2-murat adli arkada$larma hitap edi$ tarzim :)",elmyra,1999-08-16,27181
"birçok soru cümlesine cevap olarak söylenebilecek bir sözcük.

örnek:

- aaa o elindeki ne?
- armut.",guru,2000-04-24,145395
"minik olanlari nefis tatli, bal gibi olur, cerez niyetine yenir ucer beser..tam mevsimi bu aralar..",cressida,2000-06-28,218278
"sarısı makbuldur, inşallah.",guru,2000-10-15,247784
sahibinin cronos usta oldugu anet in en eski odalarindan birisi. zamaninda bu oda yuzunden cok sava$lar cikmi$ti (bkz. eski gunler).,castro,2001-08-10,589665
"manavların herkese üstü kapalı ,ima yoluyla, ayı diye hitap etmesine sebebiyet veren sarı renkli meyvegil. 

manavcı:
-gel abi geeeellllllllll... armutun iyisi burada...",beckham,2001-10-03,707761
(bkz: armudun iyisini ayilar yer),zeneboge,2001-10-12,730792
"pek cok sexi tanimlamanin,cagri$imin kaynagi olan meyve 
armut gotlu 
armut memeli (isvecli)
armut pipili (sunnet hatali)
armut kafali (asexuel)
(bkz: seftali)",gotterdamerung,2001-11-18,795955
"100 gramında 64 kalori içeren a,b1, ve b2 vitaminleri bulunan, kansızlığa*, bobrek hastalıklarına, sindirime felam iyi geldiği söylenen meyve",vic,2001-12-28,872031
(bkz: bir silah olarak armut),bitter,2002-02-03,974404
"ankara, deveci, hamsisunger olmak uzere 3 farkli cinsi olan ve fazla tuketimi bobrek tasi olusumuna sebep veren meyve.",ursard,2002-08-01,1484034
(bkz: armut piş ağzıma düş),sebze,2002-08-01,1484062
"meyvenin kendisi kullanılarak bir çok benzetme yapılmış,bu meyve şekli sayesinde pek cok acık ve kapalı istiarenin oluşmasına neden olmuştur.
(bkz: armut kafa)
(bkz: armut gibi omuz) (bkz: armut bacak) vs.vs.",zvezda,2002-10-12,1673385
serdar izbek'in meshur lafi,lecagot,2002-12-11,1985045
"elmanin rakibi...

(bkz: elma dersem cik armut dersem cikma)",magnolia,2002-12-18,2034411
(bkz: ahlat),magnolia,2002-12-18,2034416
(bkz: armutlu),magnolia,2002-12-18,2034419
bana city of angels'ı hatırlatan meyve.,lodos,2003-01-01,2115164
(bkz: ankara armudu),goddard,2003-08-25,3265241
"buzdolabından iyisini alıp anneme verdiğim de azar işittiğim tek meyve :))  ayrıca kalp -  damar sağlığı, alçak kan basıncı ve fiziksel  performansa 
iyi gelen vitaminleri barındırır.",chaplin,2004-01-30,3845010
"iyisi dışında insanların bol tükettikleri bir meyve. küçük şekli çok ekşidir ama çok çekicidir. bir ara a.b.d. de en seksi meyve de seçilmişti. biz eşşek seven gençlere takıyoruz kafayı, elalem armuda bile saldırıyor baksanıza.",jimi the kewl,2004-05-21,4298917
latincesi pyrus vulgaris olan meyve.,peperuhi,2004-06-02,4549273
gülgillerden bir ağaç,1,2004-06-03,4555316
armut yenilesi guzel olan bir meyvedir,bilir kisi,2004-07-26,5148064
"rüyada yenildiği görüldüğünde, bir hastalığa yakalanabileceğiniz, ağaçta görüldüğünde ise, başarının habercisi olabilen meyve.",akay,2004-09-16,5742679
(bkz: mature maker),mature maker,2004-10-15,6049530
lat. pirus communis,kaamos,2005-03-01,7001624
